User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
숭,@floris_ng,2020-07-01T23:46:54.000Z,노아 군것질하는 거 보니까 나도 베이커리 털고 싶다!!!,1,,
nazunamoe | 동결,@nazunamoe,2020-07-01T23:37:54.000Z,"Replying to 
@MINERBA_4th야마부키 베이커리같은거구나 납득",1,,
이천우 자캐 대사봇,@CW_char_ment,2020-07-01T23:11:31.000Z,"천년만년 평화롭게 살았으면 좋겠다. 다들 싸우지 않고, 그냥… 이렇게 사는것처럼…
- 위저드 베이커리:Re, 은 빛소리",,,
이천우 자캐 대사봇,@CW_char_ment,2020-07-01T21:41:33.000Z,"너 스무살되면 그땐 쭈그렁탱 할아버지라고 불러버린다.
- 위저드 베이커리:Re, 은 빛소리",,,
으어 (은솔),@sol__819,2020-07-01T18:37:44.000Z,"이건 쫌 확인하고 써야되는건데 먼저 찔러봅니다
어느빵집의 단골손님 중 한명인 세이죠 1학년 닝
월요병을 이겨낸 자신에게 줄 상을 사러 베이커리로 갑니당~.. 문을 열자마자 점장님과 익숙하게 인사를 나누고 빵과 디저트들을 신중하게 고르고 있는 중에 뒤에서 문이 열리고 누군가가 들어옴",1,,2
함자,@KJLKICVZonKe8nI,2020-07-01T17:50:03.000Z,사실 음식만 신경써서.. 잘 기억 안 나는데 그.. 바닷가 모래사장에서 친구랑 깡통시장에 있는 유명한 베이커리(여기도 기억 안 남..)에서 사온 케이크 먹은 게 너무 좋았어요,,,
×,@LookAtMy_,2020-07-01T17:34:25.000Z,"입술을 깨물었지만 흐느낌이 새어 나가는 걸 막을 길이 없었다. -구병모, 위저드 베이커리",,,
×,@LookAtMy_,2020-07-01T16:34:23.000Z,"나는 셔츠 앞으로 손을 조심스럽게 가져가 꼭 눌렀다. 아직도 배 선생에게 멱살이 잡힌 느낌이 남아 있었다. 눌러서 막지 않으면, 지금껏 차곡차곡 가슴에 쌓아 올린 둑이 갈라져 걷잡을 수 없는 물길이 열릴 것만 같았다. -구병모, 위저드 베이커리",,,
추상적,@CSJ_sunsaengnim,2020-07-01T16:28:06.000Z,"둘이꿈빛파티시엘그만찍어 둘이제빵왕김탁구그만찍어 둘이파스타그만찍어 둘이내이름은김삼순그만찍어 둘이따끈따끈베이커리그만찍어From 
jelly",,2,4
Queen’s Sunday(퀸즈선데이),@queenssunday,2020-07-01T16:13:37.000Z,"커피 마시러 왔다기엔 빵이 더 많은
내 욕심 가득담은 카페 나들이
+
#퀸즈선데이 #카페 #맘마미아카페 #빵 #베이커리 #압구정카페 #달달구리",,3,6
국산인간(커미션 잠시 닫음),@new_paper77,2020-07-01T16:12:58.000Z,"앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭐야 킴쑤스’s트롤 베이커리 하나 차리자Quote Tweet
KIM 수스
@KIMsuseu
 · Jul 2, 2020
ㅋㅋㅋㅋㅋㅋㅋ
모찌트롤메이커!  twitter.com/new_paper77/st…",1,1,3
𝑺𝒕𝒆𝒍𝒍𝒂𝒓,@Twinkle_stellar,2020-07-01T16:07:19.000Z,레몬파운드를 먹고싶엇지만 없어서 감자새우빵을 먹엇는데 윽 별로였어... 엄청 좋아했던 베이커리라 이름만 바뀌었나 했는데 사장님도 바뀌고 센스도 바뀐거가튼대완전~~~~~~~~~~~,,,
